"Company","Title","Location","URL","Source","Status","Notes","ApplicationStatus","Confidence","TrackerFirstSeenBasis"
"AQR Capital Management","2027 Engineering Summer Analyst","Greenwich, CT","https://www.dice.com/job-detail/11fc0876-bd30-4755-add9-f93c4c21522f","Web-discovered posting/lead","Aggregator/web lead; verify on official site","AQR enterprise engineering summer analyst lead; verify on AQR careers for the exact team and application form.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"AQR Capital Management","2027 Portfolio Implementation, Trading and Portfolio Finance Summer Analyst","Greenwich, CT","https://www.efinancialcareers.com/jobs-United_States-Greenwich-2027_Portfolio_Implementation_Trading_and_Portfolio_Finance_Summer_Analyst.id24267490","Web-discovered posting/lead","Aggregator/web lead; verify on official site","AQR team owns construction, optimization, management, trade execution, and financing of systematic portfolios; listing says summer analyst role includes portfolio construction, implementation research, model research, and analytics.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"AQR Capital Management","2027 Research Product Specialist Summer Analyst","Greenwich, CT","https://www.efinancialcareers.com/jobs-United_States-Greenwich-2027_Research_Product_Specialist_Summer_Analyst.id24267379","Web-discovered posting/lead","Aggregator/web lead; verify on official site","Separate from AQR's Research internship; still research/product/quant-adjacent.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"AQR Capital Management","2027 Research Summer Analyst","Greenwich, CT","https://www.efinancialcareers.com/jobs-USA-CT-Greenwich-2027_Research_Summer_Analyst.id24267297","Web-discovered posting/lead","Aggregator/web lead; verify on official site","eFinancialCareers listing says AQR is looking for undergraduates to join as Summer Research Analysts.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"AQR Capital Management","2027 Risk Summer Analyst","Greenwich, CT","https://www.efinancialcareers.com/jobs-United_States-Greenwich-2027_Risk_Summer_Analyst.id24267213","Web-discovered posting/lead","Aggregator/web lead; verify on official site","Quant/risk-adjacent summer analyst role; listing mentions research/development of risk methodologies and quantitative investigations.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"AQR Capital Management","AQR internship program page","Greenwich / other AQR offices","https://www.aqr.com/about-us/our-internship-program","Official internship page","Official program page; roles/application timing should be checked on careers.aqr.com","AQR says internship applications for the coming summer are live on its careers page beginning June 30 to mid-August; summer interns frequently join Research and Portfolio Management plus Portfolio Implementation, Trading, and Portfolio Finance.","","Official program/page","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Aquatic Capital","Quantitative Researcher, Intern (Summer 2027)","Chicago; London","https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489186002","Career page Greenhouse:aquaticcapitalmanagement","Confirmed official posting","career_page=https://job-boards.greenhouse.io/aquaticcapitalmanagement | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=8489186002 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Aquatic was founded with a shared passion for tackling some of the most complex challenges in one of the world’s most competitive arenas—global financial markets. From the very beginning, we have been driven by a deep commitment to applying cutting-edge scientific research and technological innovation to deliver unparalleled performance. Our journey is one of continuous growth and exploration, marked by a spirit of curiosity and relentless drive for excellence. As a Quantitative Research Intern, you will collaborate closely with a team to develop and implement quantitative trading signals, models, and strategies. Our role offers the opportunity to design, implement, an...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Aquatic Capital","Software Engineer, Intern (Summer 2027)","Chicago","https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489233002","Career page Greenhouse:aquaticcapitalmanagement","Confirmed official posting","career_page=https://job-boards.greenhouse.io/aquaticcapitalmanagement | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=8489233002 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Aquatic was founded with a shared passion for tackling some of the most complex challenges in one of the world’s most competitive arenas—global financial markets. From the very beginning, we have been driven by a deep commitment to applying cutting-edge scientific research and technological innovation to deliver unparalleled performance. Our journey is one of continuous growth and exploration, marked by a spirit of curiosity and relentless drive for excellence. As a Software Engineering Intern at Aquatic, you will join a fast-moving team building high-performance, distributed systems that power our research and trading infrastructure. You’ll work closely with experienc...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"AXQ Capital","Quantitative Research Intern","New York","https://job-boards.greenhouse.io/axq/jobs/5575450004","Career page Greenhouse:axq","Confirmed official posting","career_page=https://job-boards.greenhouse.io/axq | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=5575450004 | internship timing not stated in title | About Us AXQ Capital is a global quantitative investment firm with offices in New York, Beijing, Shanghai, and Hong Kong . We pursue consistent alpha through rigorous scientific research and sustained investment in technology and data infrastructure. Our strategies are deployed across global markets, spanning multiple geographies, asset classes, and trading horizons. Job Duties Work under the guidance of experienced quantitative portfolio managers and researchers to develop and refine quantitative trading strategies Apply tools from probability, statistics, and machine learning to explore market patterns and edge Support cutting-edge research projects and alpha-generation initiatives Collect, clean, and analyze data; help main...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Bank of America","Corporate Audit Summer 2027 Analyst","Charlotte, NC; Dallas, TX; Pennington, NJ; additional locations","https://careers.bankofamerica.com/en-us/students/job-detail/14335/corporate-audit-summer-2027-analyst-multiple-locations","Official careers page","Confirmed official posting","Official Bank of America student posting; 10-week Corporate Audit Summer Analyst Program.","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
