"Company","Title","Location","URL","Source","Notes"
"Akuna","Hardware Engineer Intern, Summer 2027","Chicago, IL ","https://www.akunacapital.com/careers/job/8018880/?gh_jid=8018880","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2029; undergrad/BS/MS language found"
"Akuna","Platform Engineer Intern, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018856/?gh_jid=8018856","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Quantitative Development & Strategy Intern, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8021481/?gh_jid=8021481","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Quantitative Research Intern, Summer 2027","Chicago, IL ","https://www.akunacapital.com/careers/job/8036614/?gh_jid=8036614","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - C# .NET Desktop, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018886/?gh_jid=8018886","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - C++, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018847/?gh_jid=8018847","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - Full Stack Web, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018893/?gh_jid=8018893","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - Python, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018853/?gh_jid=8018853","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"AXQ Capital","Quantitative Research Intern ","New York","https://job-boards.greenhouse.io/axq/jobs/5575450004","Greenhouse:axq","internship timing not stated in title; undergrad/BS/MS language found"
"BlackEdge Capital","Quantitative Developer Intern","Chicago","https://job-boards.greenhouse.io/blackedgecapital/jobs/4703821005","Greenhouse:blackedgecapital","internship timing not stated in title; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"BlackEdge Capital","Quantitative Trader Intern","Chicago","https://job-boards.greenhouse.io/blackedgecapital/jobs/4703820005","Greenhouse:blackedgecapital","internship timing not stated in title; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Capula","2027 Trading and Research Summer Internship","London, England, United Kingdom","https://apply.workable.com/capula-investment-management-ltd/j/A15A62A8BE/","Workable:capula-investment-management-ltd","internship timing: Summer"
"Citadel","Quantitative Research Analyst Intern - BS/MS (Asia)","Hong Kong, Singapore","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-asia/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel","Quantitative Research Analyst Intern - BS/MS (Europe)","London, Paris, Zurich","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel","Quantitative Research Analyst Intern - BS/MS (US)","Greenwich, Miami, New York","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-us/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel","Software Engineer - Intern (Asia)","Singapore","https://www.citadel.com/careers/details/software-engineer-intern-asia/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel","Software Engineer - Intern (Australia)","Brisbane","https://www.citadel.com/careers/details/software-engineer-intern-australia/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel","Software Engineer - Intern (Europe)","London","https://www.citadel.com/careers/details/software-engineer-intern-europe/","Official careers page","internship timing not stated in title"
"Citadel Securities","FPGA Engineer - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/fpga-engineer-intern-australia/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Asia)","Hong Kong, Singapore","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-asia/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-australia/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Europe)","London, Paris, Zurich","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (US)","Miami, New York","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-us/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel Securities","Quantitative Trading - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/quantitative-trading-intern-australia/","Official careers page","internship timing not stated in title"
"Citadel Securities","Software Engineer - Intern (Asia)","Hong Kong, Singapore","https://www.citadelsecurities.com/careers/details/software-engineer-intern-asia/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel Securities","Software Engineer - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/software-engineer-intern-australia/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Citadel Securities","Software Engineer - Intern (Europe)","London","https://www.citadelsecurities.com/careers/details/software-engineer-intern-europe/","Official careers page","internship timing not stated in title; undergrad/BS/MS language found"
"Da Vinci Derivatives","Quant Trading Intern","Amsterdam, North Holland, Netherlands","https://job-boards.eu.greenhouse.io/davinciderivatives/jobs/4196845101","Greenhouse:davinciderivatives","internship timing not stated in title; graduation eligibility mentions: 2028"
"DE Shaw","Proprietary Trading Intern (New York) - Summer 2027","New York","https://www.deshaw.com/careers/Proprietary-Trading-Intern-New-York-Summer-2027-5731","Official careers page","internship timing: Summer 2027"
"DL Trading","Quantitative Developer Internship - 2027","Chicago, Illinois, United States","https://www.dltrading.io/careers?gh_jid=7814660003","Greenhouse:confidentialsportstradingfirm","internship timing not stated in title; undergrad/BS/MS language found"
"DL Trading","Quantitative Trading Internship - 2027","Chicago, Illinois, United States","https://www.dltrading.io/careers?gh_jid=7814754003","Greenhouse:confidentialsportstradingfirm","internship timing not stated in title; undergrad/BS/MS language found"
"DV Trading","2027 Summer Internship - Trading (DV Equities)","Hong Kong","https://job-boards.greenhouse.io/dvtrading/jobs/4691295005","Greenhouse:dvtrading","internship timing: 2027 Summer; graduation eligibility mentions: 2027; undergrad/BS/MS language found"
"Engineers Gate","Quantitative Research Intern","Hong Kong","https://job-boards.greenhouse.io/engineersgate/jobs/7946542","Greenhouse:engineersgate","internship timing not stated in title; undergrad/BS/MS language found"
"Five Rings","Summer Intern 2027 - Quantitative Trader","New York","https://job-boards.greenhouse.io/fiveringsllc/jobs/5139668008","Greenhouse:fiveringsllc","internship timing: Summer; graduation eligibility mentions: 2027, 2028"
"Five Rings","Summer Intern 2027 - Software Developer","New York","https://job-boards.greenhouse.io/fiveringsllc/jobs/5349707008","Greenhouse:fiveringsllc","internship timing: Summer"
"Flow Traders","Quantitative Trading Intern Summer 2027","New York","https://job-boards.greenhouse.io/flowtraders/jobs/8047166","Greenhouse:flowtraders","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"GSA Capital Partners","Quantitative Researcher - Intern","London, New York","https://www.gsacapital.com/careers/gh/?gh_jid=8570661002","Greenhouse:gsacapital","internship timing not stated in title"
"GSA Capital Partners","Software Developer - Intern","London","https://www.gsacapital.com/careers/gh/?gh_jid=8570668002","Greenhouse:gsacapital","internship timing not stated in title"
"IMC Financial Markets","Hardware Engineer Intern","Amsterdam, Netherlands","https://job-boards.eu.greenhouse.io/imc/jobs/4927149101","Greenhouse:imc","internship timing not stated in title; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"IMC Financial Markets","Hardware Engineer Intern - Summer 2027","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4823945101","Greenhouse:imc","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found"
"IMC Financial Markets","Machine Learning Research Intern - Summer 2027 - Amsterdam","Amsterdam, Netherlands","https://job-boards.eu.greenhouse.io/imc/jobs/4912874101","Greenhouse:imc","internship timing: Summer 2027; graduation eligibility mentions: 2028, 2027; undergrad/BS/MS language found"
"IMC Financial Markets","Machine Learning Research Intern - Summer 2027 - Chicago","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4907430101","Greenhouse:imc","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found"
"IMC Financial Markets","Macro Analyst Intern","Amsterdam, Netherlands","https://job-boards.eu.greenhouse.io/imc/jobs/4941380101","Greenhouse:imc","internship timing not stated in title; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"IMC Financial Markets","Quantitative Research Intern (BS/MS) - Summer 2027","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4907399101","Greenhouse:imc","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found"
"IMC Financial Markets","Quantitative Trader Intern","Amsterdam, Netherlands","https://job-boards.eu.greenhouse.io/imc/jobs/4936262101","Greenhouse:imc","internship timing not stated in title; graduation eligibility mentions: 2028"
"IMC Financial Markets","Quantitative Trader Intern - Summer 2027","Chicago, United States","https://job-boards.eu.greenhouse.io/imc/jobs/4823923101","Greenhouse:imc","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found"
