"Company","Title","Location","URL","Source","Notes"
"Akuna","Hardware Engineer Intern, Summer 2027","Chicago, IL ","https://www.akunacapital.com/careers/job/8018880/?gh_jid=8018880","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2029; undergrad/BS/MS language found"
"Akuna","Platform Engineer Intern, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018856/?gh_jid=8018856","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Quantitative Development & Strategy Intern, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8021481/?gh_jid=8021481","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Quantitative Research Intern, Summer 2027","Chicago, IL ","https://www.akunacapital.com/careers/job/8036614/?gh_jid=8036614","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - C# .NET Desktop, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018886/?gh_jid=8018886","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - C++, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018847/?gh_jid=8018847","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - Full Stack Web, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018893/?gh_jid=8018893","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - Python, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018853/?gh_jid=8018853","Greenhouse:akunacapital","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"AXQ Capital","Quantitative Research Intern ","New York","https://job-boards.greenhouse.io/axq/jobs/5575450004","Greenhouse:axq","internship timing not stated in title; undergrad/BS/MS language found"
"Belvedere Trading","Quantitative Trading Intern - Summer 2027","Chicago, Illinois","https://jobs.lever.co/belvederetrading/cbde47db-c60b-4339-a8f4-a8e4f30505ab","Lever:belvederetrading","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found"
"Belvedere Trading","Quantitative Trading Intern - Winter Quarter 2027","Chicago, Illinois","https://jobs.lever.co/belvederetrading/8f06f221-8777-4a4d-b035-40882db5f4a0","Lever:belvederetrading","internship timing: Winter; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found"
"Belvedere Trading","Software Engineer Intern - Summer 2027","Chicago, Illinois","https://jobs.lever.co/belvederetrading/10746b3d-1760-4573-9b63-b93f5a5e4fc0","Lever:belvederetrading","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found"
"BlackEdge Capital","Quantitative Developer Intern","Chicago","https://job-boards.greenhouse.io/blackedgecapital/jobs/4703821005","Greenhouse:blackedgecapital","internship timing not stated in title; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"BlackEdge Capital","Quantitative Trader Intern","Chicago","https://job-boards.greenhouse.io/blackedgecapital/jobs/4703820005","Greenhouse:blackedgecapital","internship timing not stated in title; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Citadel","International Equities Associate - Intern (Europe)","London","https://www.citadel.com/careers/details/international-equities-associate-intern-europe/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel","Investment & Trading - Intern (Europe)","London, Paris","https://www.citadel.com/careers/details/investment-trading-intern-europe/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel","Quantitative Research Analyst - Intern (US)","Greenwich, Miami, New York","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel","Quantitative Research Analyst Intern - BS/MS (Asia)","Hong Kong, Singapore","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-asia/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel","Quantitative Research Analyst Intern - BS/MS (Europe)","London, Paris, Zurich","https://www.citadel.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel","Quantitative Trader: Equity Quantitative Research - Intern (US)","Greenwich, Miami, New York","https://www.citadel.com/careers/details/quantitative-trader-equity-quantitative-research-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel","Software Engineer - Intern (Europe)","London","https://www.citadel.com/careers/details/software-engineer-intern-europe/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel","Software Engineer - Intern (US)","Greenwich, Houston, Miami, New York","https://www.citadel.com/careers/details/software-engineer-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel","Trader: Fixed Income & Macro - Intern (US)","Greenwich, Miami, New York","https://www.citadel.com/careers/details/trader-fixed-income-macro-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Credit & Rates Rotational Trader - Intern (US)","New York","https://www.citadelsecurities.com/careers/details/credit-rates-rotational-trader-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Designated Market Maker (DMM) Trader - Intern (US)","New York","https://www.citadelsecurities.com/careers/details/designated-market-maker-dmm-trader-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","FPGA Engineer - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/fpga-engineer-intern-australia/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","FPGA Engineer - Intern (US)","Miami, New York","https://www.citadelsecurities.com/careers/details/fpga-engineer-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Quantitative Research Analyst - Intern (US)","Miami, New York","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Asia)","Hong Kong, Singapore","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-asia/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-australia/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Quantitative Research Analyst Intern - BS/MS (Europe)","London, Paris, Zurich","https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-intern-bs-ms-europe/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Quantitative Trader - Intern (US)","Miami, New York","https://www.citadelsecurities.com/careers/details/quantitative-trader-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Quantitative Trading - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/quantitative-trading-intern-australia/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Quantitative Trading - Intern (Europe)","London, Paris","https://www.citadelsecurities.com/careers/details/quantitative-trading-intern-europe/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Rates Trading - Intern (Europe)","London, Paris","https://www.citadelsecurities.com/careers/details/rates-trading-intern-europe/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Sector Data Analyst - Intern (Europe)","London","https://www.citadelsecurities.com/careers/details/sector-data-analyst-intern-europe/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Software Engineer - Intern (Australia)","Sydney","https://www.citadelsecurities.com/careers/details/software-engineer-intern-australia/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Software Engineer - Intern (US)","Miami, New York","https://www.citadelsecurities.com/careers/details/software-engineer-intern-us/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Citadel Securities","Software Engineer - Intern (US)","London","https://www.citadelsecurities.com/careers/details/software-engineer-intern-us-2/","Official careers page (browser-audited 2026-07-14)","internship timing not stated in title"
"Da Vinci Derivatives","Quant Trading Intern","Amsterdam, North Holland, Netherlands","https://job-boards.eu.greenhouse.io/davinciderivatives/jobs/4196845101","Greenhouse:davinciderivatives","internship timing not stated in title; graduation eligibility mentions: 2028"
"DE Shaw","Proprietary Trading Intern (New York) - Summer 2027","New York","https://www.deshaw.com/careers/Proprietary-Trading-Intern-New-York-Summer-2027-5731","Official careers page","internship timing: Summer 2027"
"DL Trading","Quantitative Developer Internship - 2027","Chicago, Illinois, United States","https://www.dltrading.io/careers?gh_jid=7814660003","Greenhouse:confidentialsportstradingfirm","internship timing not stated in title; undergrad/BS/MS language found"
"DL Trading","Quantitative Trading Internship - 2027","Chicago, Illinois, United States","https://www.dltrading.io/careers?gh_jid=7814754003","Greenhouse:confidentialsportstradingfirm","internship timing not stated in title; undergrad/BS/MS language found"
"DV Trading","2027 Summer Internship - Trading (DV Equities)","Hong Kong","https://job-boards.greenhouse.io/dvtrading/jobs/4691295005","Greenhouse:dvtrading","internship timing: 2027 Summer; graduation eligibility mentions: 2027; undergrad/BS/MS language found"
"DV Trading","Futures & Options Trading Analyst Intern - Summer 2027","New York","https://job-boards.greenhouse.io/dvtrading/jobs/4722749005","Greenhouse:dvtrading","internship timing: Summer 2027; undergrad/BS/MS language found"
"DV Trading","Quantitative Risk Intern - Summer 2027","Chicago","https://job-boards.greenhouse.io/dvtrading/jobs/4719118005","Greenhouse:dvtrading","internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028; undergrad/BS/MS language found"
