"Company","Title","Location","URL","Source","Status","Notes"
"Akuna","Hardware Engineer Intern, Summer 2027","Chicago, IL ","https://www.akunacapital.com/careers/job/8018880/?gh_jid=8018880","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2029; undergrad/BS/MS language found"
"Akuna","Platform Engineer Intern, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018856/?gh_jid=8018856","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Quantitative Development & Strategy Intern, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8021481/?gh_jid=8021481","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Quantitative Research Intern, Summer 2027","Chicago, IL ","https://www.akunacapital.com/careers/job/8036614/?gh_jid=8036614","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - C# .NET Desktop, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018886/?gh_jid=8018886","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - C++, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018847/?gh_jid=8018847","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - Full Stack Web, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018893/?gh_jid=8018893","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - Python, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018853/?gh_jid=8018853","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Allstate","Pricing Actuarial Analyst Intern","USA - IL (Remote)","https://allstate.wd5.myworkdayjobs.com/allstate_careers/job/USA---IL-Remote/Pricing-Actuarial-Analyst-Intern_R33433","Career page Workday:allstate/allstate_careers","Confirmed official posting","career_page=https://allstate.wd5.myworkdayjobs.com/allstate_careers | Posted Yesterday | R33433"
"AlphaGrep","Quantitative Developer Intern","Mumbai","https://job-boards.greenhouse.io/alphagrepsecurities/jobs/8176611002","Career page Greenhouse:alphagrepsecurities","Confirmed official posting","career_page=https://job-boards.greenhouse.io/alphagrepsecurities | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=8176611002 | internship timing not stated in title | AlphaGrep is a quantitative trading and investment management firm founded in 2010. We are one of the largest firms by trading volume on Indian exchanges and have significant market share on several large global exchanges as well. We use a disciplined and systematic quantitative approach to identify factors that consistently generate alpha. These factors are then coupled with our proprietary ultra-low latency trading systems and robust risk management to develop trading strategies across asset classes (equities, commodities, currencies, fixed income) that trade on global exchanges. AlphaGrep Securities seeks a Quantitative Research Intern, who will be part of trading group which executes algorithmic strategies ..."
