"Company","Title","Location","URL","Source","Status","Notes"
"Akuna","Hardware Engineer Intern, Summer 2027","Chicago, IL ","https://www.akunacapital.com/careers/job/8018880/?gh_jid=8018880","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2029; undergrad/BS/MS language found"
"Akuna","Platform Engineer Intern, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018856/?gh_jid=8018856","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Quantitative Development & Strategy Intern, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8021481/?gh_jid=8021481","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Quantitative Research Intern, Summer 2027","Chicago, IL ","https://www.akunacapital.com/careers/job/8036614/?gh_jid=8036614","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - C# .NET Desktop, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018886/?gh_jid=8018886","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - C++, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018847/?gh_jid=8018847","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - Full Stack Web, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018893/?gh_jid=8018893","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"Akuna","Software Engineer Intern - Python, Summer 2027","Chicago, IL","https://www.akunacapital.com/careers/job/8018853/?gh_jid=8018853","Greenhouse:akunacapital","Confirmed official posting","internship timing: Summer 2027; graduation eligibility mentions: 2028; undergrad/BS/MS language found"
"AQR Capital Management","2027 Engineering Summer Analyst","Greenwich, CT","https://www.dice.com/job-detail/11fc0876-bd30-4755-add9-f93c4c21522f","Web-discovered posting/lead","Aggregator/web lead; verify on official site","AQR enterprise engineering summer analyst lead; verify on AQR careers for the exact team and application form."
"AQR Capital Management","2027 Portfolio Implementation Summer Analyst","Greenwich, CT","https://careers.aqr.com/jobs?gh_jid=7895562&gh_jid=7895562","Career page Greenhouse:aqr","Confirmed official posting","career_page=https://careers.aqr.com/ | company_wrapper=https://careers.aqr.com/job?gh_jid=7895562 | internship timing: Summer; graduation eligibility mentions: 2027, 2028 | AQR Capital Management AQR is a global investment firm built at the intersection of financial theory and practical application. We strive to deliver concrete, long-term results by looking past market noise to identify and isolate the factors that matter most, and by developing ideas that stand up to rigorous testing. By putting theory into practice, we have become a leader in alternative strategies and an innovator in traditional portfolio management since 1998. At AQR, our employees share a common spirit of academic excellence, intellectual honesty, and an unwavering commitment to seeking the truth. We’re determined to know what makes financial markets tick – and we’ll ask every question and challenge every assumptio..."
"AQR Capital Management","2027 Portfolio Implementation, Trading and Portfolio Finance Summer Analyst","Greenwich, CT","https://www.efinancialcareers.com/jobs-United_States-Greenwich-2027_Portfolio_Implementation_Trading_and_Portfolio_Finance_Summer_Analyst.id24267490","Web-discovered posting/lead","Aggregator/web lead; verify on official site","AQR team owns construction, optimization, management, trade execution, and financing of systematic portfolios; listing says summer analyst role includes portfolio construction, implementation research, model research, and analytics."
